match_id,map_name,stage,circle_x,circle_y,circle_radius,next_circle_x,next_circle_y,next_circle_radius,final_zone
c0a6a2bf70b83cd41a0bb7b76fbd2f5e,e_district,1,7727,7878,5036,8631,5478,2470,center
2932c9c9a8a0a3c25d6717141812bcc8,worlds_edge,1,10122,9870,4825,12541,10305,2367,east
60af78dbe6baeb5cf8dcbd2d04c89de6,storm_point,1,9636,9181,4894,8648,11462,2407,south
f84312b85423a404969f16edfe2654e0,worlds_edge,1,7705,11420,4825,5371,12190,2367,south
85a9f7cc64be2557f334faa8c005503c,storm_point,1,9610,8673,4894,11484,10308,2407,east
c321605d17b37b50205bb00e2b6dd9d2,storm_point,1,6894,6086,4894,7888,6649,2407,center
538b5d1e6bb2e9089ebf9532e8b3381a,e_district,1,8596,10815,5036,9805,13077,2470,south
ec46651c4eb0d32f866feaece8097749,worlds_edge,1,6139,9175,4825,7435,10795,2367,center
15a12b38b7d5283b481083cc7f5c2009,storm_point,1,8616,6910,4894,6797,8383,2407,center
35757e39883adc62e051331f1786c740,storm_point,1,7645,9898,4894,5367,10896,2407,south
88fe3a9a0891bae4de7cc3a4eef12785,e_district,1,7284,8794,5036,5033,7565,2470,west
6234febda542edb9284beef016444854,worlds_edge,1,8056,8885,4825,6131,10251,2367,center
c6815cf5d7b11b00ce6c21c6fa686eb8,e_district,1,8031,7570,5036,9831,5743,2470,north
950aa26592e84cff8811d2df9dc1ef72,storm_point,1,6756,6019,4894,6744,3532,2407,north
de325e496d6dd443691d003ef7ce1c7b,storm_point,1,7253,7927,4894,4973,8920,2407,west
9e4b176114956836ad4f161bfcc462cf,worlds_edge,1,6896,10219,4825,4769,11450,2367,south
17acf793a28c1dbe8b292c2384214371,e_district,1,8589,8887,5036,8299,6339,2470,north
ab54d12096f286bb19948fa4c452f7f8,worlds_edge,1,10547,6942,4825,8437,7512,2367,center
ce8cb8ebb039e0201b2ea50ff98af4c5,storm_point,1,9406,5783,4894,9641,3307,2407,north
c0de11906a4d0aa2b77f98abaa77c6cd,worlds_edge,1,10722,11502,4825,10722,11502,2478,south
842614b1ed96e764a7d6b49709ff68de,worlds_edge,1,7549,10068,4825,8912,12047,2367,south
f4f163a710d0a89fbacd6554f28e5ecc,storm_point,1,7284,6307,4894,6301,4023,2407,north
bdb3525a1f550c731b54022eaadd1548,storm_point,1,7807,5745,4894,7088,3364,2407,north
8d68b91192c3f5461edc6cdb162e482e,storm_point,1,7505,5221,4894,5212,4259,2407,west
863420a20322636e4271aac22b9e2b23,e_district,1,6578,9045,5036,5128,6929,2470,west
285bb7a8346e64568788063cbb5c54d1,worlds_edge,1,8254,8424,4825,9989,7356,2367,center
26f229b688d46bb833fff24d061e4cfb,e_district,1,8373,8037,5036,10863,7421,2470,east
71ba7081647d25904b444b2928f5f357,worlds_edge,1,6405,9438,4825,4936,11409,2367,west
6effad10250d5a8518e491ad0906fbd7,e_district,1,8270,9970,5036,6369,11692,2470,south
1e71160199a0082be72346d36b58ada3,e_district,1,8596,10815,5036,9805,13077,2470,south
329bb311b642ac9a7670a489415a3d31,storm_point,1,9176,5609,4894,10078,7832,2407,center
b1f984587d83cc4ae768d236ad153396,storm_point,1,8781,8108,4974,9438,10589,2407,south
076201538c9637c861b0780136c7e20c,storm_point,1,8418,7227,4894,7950,4785,2407,north
125cc1b6ea674ea31f4f358a989a4905,storm_point,1,9818,6209,4974,9568,8516,2407,center
95977afcd937a08c7caf378a30cf0dba,worlds_edge,1,5250,8197,4825,6497,10159,2367,center
d6cda954a7cff0cfd556dd8306ca956f,worlds_edge,1,8414,10699,4825,10127,12459,2367,south
e2e3fdbaf1f6c6fd25c3c26788a705cb,e_district,1,7589,8251,5036,7922,5709,2470,north
709fa1ad0fbd9b6bdaa7bed081f0911e,e_district,1,7745,6711,5036,9598,4938,2470,north
b6e2b2c49903d1785c4aae9d672dae8a,e_district,1,9442,7441,5036,7748,8468,2470,center
2af8bb0f8ff8cc7adc14844c8ff95931,worlds_edge,1,7517,8478,4825,8142,6578,2367,center
923e341d2f07e5f66249d8065bf99d6d,storm_point,1,5143,7436,4894,2932,8574,2407,west
c679798bb232b80239e555aff8dbea88,storm_point,1,8282,7971,4974,10670,7031,2407,center
4b5b10a3f97433ced84c17551087fa1b,e_district,1,6127,8924,5036,7211,11078,2470,south
8f06a677618e04cccdf00f94f22ef407,storm_point,1,8388,9920,4974,7386,8265,2407,center
4efdee800434fbfee30665e0f4a64852,storm_point,1,9781,9372,4894,9652,11854,2407,south
74d2ea2e0eb8d4e8802f009de797e488,storm_point,1,9268,8112,4894,8502,10478,2407,south
2a1325c0bfb7aae933b0da3ffc6ab5a8,worlds_edge,1,8435,6997,4825,6014,6638,2367,center
426f6ce3ee3c95da19d96b67799fdf60,worlds_edge,1,7116,10521,4825,7917,12845,2367,south
582f0e87aae4bb811e47e62380505f9c,e_district,1,9200,9402,5036,11624,8569,2470,east
3684c06b37a017a3bd4365e0116bd1da,worlds_edge,1,8176,8434,4825,9554,6465,2367,center
3aa63b193208e9dfecf439dbec8b8b77,storm_point,1,7484,5904,4974,5412,4391,2407,north
7b64d842905b2a70c5fd9a49848aa638,storm_point,1,5571,5972,4894,3222,6787,2407,west
171bd6137c3df74565d0316776195ebc,worlds_edge,1,8035,7785,4825,9350,5709,2367,center
805e21e8675fc5629337e1f42407ca2d,storm_point,1,9786,6259,4974,9825,3693,2407,north
c055e8e8ad79eca9e602283a192f5141,storm_point,1,9075,9921,4894,11477,10564,2407,east
340cf9bf8b3a5d4ac52989514dbf11d8,storm_point,1,7276,6349,4894,7038,3873,2407,north
2347a1b56f43a81578c47156be44c9f1,storm_point,1,9685,8959,4894,11794,10276,2407,east
2fe90088282a6909e1ad8951acf15f2e,e_district,1,6307,8559,5036,3774,8153,2470,west
81f1319f545a37efd627a02f5bceafba,storm_point,1,10317,7308,4894,12238,8887,2407,east
7f0352fb828a023c0068de5ad1494072,worlds_edge,1,7033,8270,4825,8563,6548,2367,center
4e7b168228b01c4a0055bf6391ba72ae,worlds_edge,1,6289,9701,4825,4037,8731,2367,west
419f23ad0f32bce9e55e9a0c8185d92a,storm_point,1,8967,7866,4974,7677,10085,2407,center
74712b28cb0d153eb43e8c477b80789f,worlds_edge,1,9865,7131,4825,11443,5247,2367,east
d735b3eb1598b49941fda770c94f92b1,storm_point,1,7308,5467,4894,4837,5186,2407,west
3fde2d50840a5bb5be4b3d72a6059c2f,storm_point,1,6649,5269,4894,8085,7244,2407,center
2c2f58586171e6326bc56ffc300cfc35,e_district,1,7427,9749,5036,5019,9027,2470,center
716771bfadb68c3f195dd84e91cfea11,storm_point,1,9389,5880,4894,9555,3399,2407,north
87440137c7f1ee83e35a882d64d5cf2b,worlds_edge,1,10653,9734,4825,11833,11889,2367,east
abd428bbdac332d17aa6484bc97dc984,storm_point,1,10118,7005,4894,11582,9013,2407,east
76298349330fffe031f2d4331c3a3592,storm_point,1,5934,7714,4894,4183,5949,2407,west
